comorbidity,SNOMED-CT codes,prevalence
Non-rheumatic atrial fibrillation,233911009,1.8-fold increase in risk among hypertension patients
Atrial fibrillation with rapid ventricular response,120041000119109,1.8-fold increase in risk among hypertension patients
Atrial arrhythmia,17366009,1.8-fold increase in risk among hypertension patients
Chronic atrial fibrillation,426749004,1.8-fold increase in risk among hypertension patients
Atrial thrombosis,195147006,1.8-fold increase in risk among hypertension patients
Paroxysmal atrial fibrillation,282825002,1.8-fold increase in risk among hypertension patients
Atrial flutter,5370000,1.8-fold increase in risk among hypertension patients
Typical atrial flutter,720448006,1.8-fold increase in risk among hypertension patients
Persistent atrial fibrillation,440059007,1.8-fold increase in risk among hypertension patients
Atypical atrial flutter,15964901000119107,1.8-fold increase in risk among hypertension patients
Preexcited atrial fibrillation,762247006,1.8-fold increase in risk among hypertension patients
Permanent atrial fibrillation,440028005,1.8-fold increase in risk among hypertension patients
Chronic atrial flutter,425615007,1.8-fold increase in risk among hypertension patients
Atrial fibrillation due to heart valve disorder,313377641000119105,1.8-fold increase in risk among hypertension patients
Ventricular fibrillation,71908006,1.8-fold increase in risk among hypertension patients
Controlled atrial fibrillation,300996004,1.8-fold increase in risk among hypertension patients
Paroxysmal atrial fibrillation with rapid ventricular response,1010405004,1.8-fold increase in risk among hypertension patients
Paroxysmal atrial flutter,427665004,1.8-fold increase in risk among hypertension patients
Rapid atrial fibrillation,314208002,1.8-fold increase in risk among hypertension patients
Atrial fibrillation not detected,1067061000000104,1.8-fold increase in risk among hypertension patients
Fibrillation,40593004,1.8-fold increase in risk among hypertension patients
Normal atrial rhythm,81437007,1.8-fold increase in risk among hypertension patients
Atrial bigeminy,251173003,1.8-fold increase in risk among hypertension patients
Longstanding persistent atrial fibrillation,706923002,1.8-fold increase in risk among hypertension patients
Transient cerebral ischemia due to atrial fibrillation,426814001,1.8-fold increase in risk among hypertension patients
Atrial tachycardia,276796006,1.8-fold increase in risk among hypertension patients
Atrial fibrillation excluded,816401000000105,1.8-fold increase in risk among hypertension patients
Lone atrial fibrillation,233910005,1.8-fold increase in risk among hypertension patients
Atrial cardiopathy,870575001,1.8-fold increase in risk among hypertension patients
Atrial aneurysm,36665001,1.8-fold increase in risk among hypertension patients
Atrial parasystole,251188008,1.8-fold increase in risk among hypertension patients
Sustained ventricular fibrillation,429243003,1.8-fold increase in risk among hypertension patients
Persistent atrial fibrillation due to heart valve disorder,489609371000119104,1.8-fold increase in risk among hypertension patients
Hypercoagulable state due to atrial fibrillation,129032061000119103,1.8-fold increase in risk among hypertension patients
ECG: atrial fibrillation,164889003,1.8-fold increase in risk among hypertension patients
Atrial paroxysmal tachycardia,195069001,1.8-fold increase in risk among hypertension patients
Atrial septal aneurysm,95440004,1.8-fold increase in risk among hypertension patients
Atrial trigeminy,251174009,1.8-fold increase in risk among hypertension patients
Left atrial rhythm,49760004,1.8-fold increase in risk among hypertension patients
"Atrial septal defect, atrioventricular conduction disorder",725145002,1.8-fold increase in risk among hypertension patients
Re-entrant atrial tachycardia,233893007,1.8-fold increase in risk among hypertension patients
"Thrombosis of atrium, auricular appendage, and atrial septum",194868001,1.8-fold increase in risk among hypertension patients
Atrial fibrillation annual review,248411000000105,1.8-fold increase in risk among hypertension patients
Atrioventricular tachycardia,278482008,1.8-fold increase in risk among hypertension patients
Atrial fibrillation resolved,196371000000102,1.8-fold increase in risk among hypertension patients
"Familial atrial tachyarrhythmia, infra-Hisian",1197418004,1.8-fold increase in risk among hypertension patients
EKG: atrial flutter,164890007,1.8-fold increase in risk among hypertension patients
Ventricular arrhythmia,44103008,1.8-fold increase in risk among hypertension patients
Chronic atrial and intestinal dysrhythmia,720507006,1.8-fold increase in risk among hypertension patients
Brainstem stroke syndrome,195212005,64%
Nonparalytic stroke,111297002,64%
Ischemic stroke,422504002,64%
Thrombotic stroke,371040005,64%
Occlusive stroke,373606000,64%
Paralytic stroke,116288000,64%
Stroke test positive,299403002,64%
Stroke and TIA,720191000000104,64%
Stroke medicine,828261000000103,64%
Stroke test finding,366609000,64%
Embolic stroke,371041009,64%
Haemorrhagic stroke,1078001000000105,64%
Cerebellar stroke syndrome,195213000,64%
Ischemic stroke without residual deficits,725132001,64%
