OMOP codes,procedure,normal range
36033288,Hemoglobin A1c/Hemoglobin.total,DBS
4197971,HbA1c measurement (DCCT aligned),4% to 5.9%
37392408,Haemoglobin A1 level,4% to 5.9%
40789263,Hemoglobin A1c,4% to 5.9%
1049301000000100,Haemoglobin A1c (diagnostic reference range),4% to 5.9%
1010941000000103,Haemoglobin A1c (monitoring ranges),4% to 5.9%
1049321000000109,HbA1c (haemoglobin A1c) level (monitoring ran...,4% to 5.9%
4331286,"Glucose measurement, serum","70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
40308384,Serum glucose level,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
37392940,Serum glucose level,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
1002230,Glucose [Mass/volume] mean in Serum or Plasma,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3002666,Glucose [Mass/volume] in Serum or Plasma --ba...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3004501,Glucose [Mass/volume] in Serum or Plasma,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3032230,Glucose [Mass/volume] in Serum or Plasma --6t...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3013826,Glucose [Moles/volume] in Serum or Plasma,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3007821,Glucose [Moles/volume] in Serum or Plasma --b...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3032986,Glucose [Mass/volume] in Serum or Plasma --1s...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3032779,Glucose [Mass/volume] in Serum or Plasma --2n...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3029014,Glucose [Mass/volume] in Serum or Plasma --8t...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3026728,Glucose [Mass/volume] in Serum or Plasma --10...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3031928,Glucose [Mass/volume] in Serum or Plasma --7t...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3032780,Glucose [Mass/volume] in Serum or Plasma --10...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3050134,Glucose [Mass/volume] in Serum or Plasma --6 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
46236948,"Glucose [Moles/volume] in Serum, Plasma or Bl...","3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3025866,Glucose [Mass/volume] in Serum or Plasma --po...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3010044,Glucose [Mass/volume] in Serum or Plasma --2 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
4198878,Serum glucagon measurement,Not applicable
42868682,Glucose [Moles/volume] in Serum or Plasma --p...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3013256,Glucose [Interpretation] in Serum or Plasma--...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3020058,Glucose [Mass/volume] in Serum or Plasma --pr...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3048585,Glucose [Mass/volume] in Serum or Plasma --12...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
44816672,"Glucose [Mass/volume] in Serum, Plasma or Blood","70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3028944,Glucose [Mass/volume] in Serum or Plasma --5t...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3020193,Glucose [Mass/volume] in Serum or Plasma --4 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3030416,Glucose [Mass/volume] in Serum or Plasma --3r...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
40308385,Serum random glucose level,<140 mg/dL (random)
3020096,Glucose [Units/volume] in Serum or Plasma --7...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3053004,Glucose [Mass/volume] in Serum or Plasma --3 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3032719,Glucose [Mass/volume] in Serum or Plasma --4t...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3005550,Glucose [Units/volume] in Serum or Plasma --8...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3012792,Glucose [Mass/volume] in Serum or Plasma --5 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
37208638,Glucose substance concentration in serum,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3031929,Glucose [Mass/volume] in Serum or Plasma --9t...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3026536,Glucose [Mass/volume] in Serum or Plasma --po...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3030583,Glucose [Mass or Moles/volume] in Serum or Pl...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
40762875,Glucose [Moles/volume] in Serum or Plasma --7...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3012635,Glucose [Mass/volume] in Serum or Plasma --11...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3003435,Glucose [Mass/volume] in Serum or Plasma --pr...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3003541,Glucose [Mass/volume] in Serum or Plasma --4 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3052381,Glucose [Mass/volume] in Serum or Plasma --8 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
4042759,Serum random glucose measurement,<140 mg/dL (random)
3039997,Glucose [Moles/volume] in Serum or Plasma --4...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3036283,Glucose [Mass/volume] in Serum or Plasma --10...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3043536,Glucose [Moles/volume] in Serum or Plasma --1...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3023379,Glucose [Mass/volume] in Serum or Plasma --12...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3040820,Glucose [Mass/volume] in Serum or Plasma --pr...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
4218282,"Glucose measurement, plasma","70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3042469,Glucose [Moles/volume] in Serum or Plasma --p...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3045067,Glucose [Moles/volume] in Serum or Plasma --8...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3020317,Glucose [Mass/volume] in Serum or Plasma --6t...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
40762873,Glucose [Moles/volume] in Serum or Plasma --1...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3050095,Glucose [Mass/volume] in Serum or Plasma --6 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3010030,Glucose [Mass/volume] in Serum or Plasma --3 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3000931,Glucose [Mass/volume] in Serum or Plasma --8t...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3019765,Glucose [Moles/volume] in Serum or Plasma --p...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3009006,Glucose [Mass/volume] in Serum or Plasma --15...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3014163,Glucose [Mass/volume] in Serum or Plasma --14...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3048856,Glucose [Mass/volume] in Serum or Plasma --12...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3045700,Glucose [Moles/volume] in Serum or Plasma --p...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3036807,Glucose [Mass/volume] in Serum or Plasma --11...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3049496,Glucose [Mass/volume] in Serum or Plasma --10...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
40762876,Glucose [Moles/volume] in Serum or Plasma --3...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3049466,Glucose [Mass/volume] in Serum or Plasma --8 ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3004067,Glucose [Moles/volume] in Serum or Plasma --p...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
4041723,Serum fasting glucose measurement,70-99 mg/dL (fasting)
3035352,Glucose [Mass/volume] in Serum or Plasma --2n...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3013802,Glucose [Mass/volume] in Serum or Plasma --13...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
4144235,"Glucose measurement, blood","70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
4042760,Serum 2-hr post-prandial glucose measurement,<140 mg/dL (2 hours postprandial)
40308386,Serum fasting glucose level,70-99 mg/dL (fasting)
4198732,30 minute serum glucose measurement,Not applicable
4193855,60 minute serum glucose measurement,Not applicable
40308387,Serum 2-hr post-prandial glucose level,<140 mg/dL (2 hours postprandial)
4151548,"Glucose measurement, body fluid",Not applicable
4198743,90 minute serum glucose measurement,Not applicable
3018582,Glucose [Moles/volume] in Serum or Plasma --2...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
40308392,90 minute serum glucose level,Not applicable
4018317,"Glucose measurement, quantitative","70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
4195213,150 minute serum glucose measurement,Not applicable
40484576,Quantitative measurement of glucose in serum ...,"70-99 mg/dL (fasting), <140 mg/dL (2 hours po..."
3029462,Glucose [Moles/volume] in Serum or Plasma --p...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
3048522,Glucose [Moles/volume] in Serum or Plasma --p...,"3.9-5.5 mmol/L (fasting), <7.8 mmol/L (2 hour..."
40310556,Urine microalbumin (& level),<30 mg/24 hr
4135536,Urine microalbumin profile,<30 mg/24 hr
4152996,Urine albumin measurement,<30 mg/24 hr
40340434,Urine microalbumin (& level),<30 mg/24 hr
37392915,Urine microalbumin level,<30 mg/24 hr
4065521,Urine microalbumin detected,<30 mg/24 hr
4021120,"Microalbumin measurement, urine, semi-quantit...",<30 mg/24 hr
4020542,"Microalbumin measurement, urine, quantitative",<30 mg/24 hr
37398007,Urine microalbumin profile,<30 mg/24 hr
4150342,Urine microalbumin/creatinine ratio measurement,<30 mg/g creatinine
40310557,Urine microalbumin positive,<30 mg/24 hr
3000034,Microalbumin [Mass/volume] in Urine,<30 mg/24 hr
4065543,Urine microalbumin not detected,<30 mg/24 hr
40310558,Urine microalbumin negative,<30 mg/24 hr
40310511,Urine microalbumin:creatinine ratio (& level),<30 mg/g creatinine
40310014,Urine albumin (& level),<30 mg/24 hr
3039436,Microalbumin [Mass/volume] in 24 hour Urine b...,<30 mg/24 hr
40339924,Urine albumin (& level),<30 mg/24 hr
3039775,Microalbumin [Mass/volume] in Urine by Detect...,<30 mg/24 hr
1176069,Microalbumin [Mass/volume] in Urine by Detect...,<30 mg/24 hr
3005031,Microalbumin [Mass/volume] in 24 hour Urine,<30 mg/24 hr
40340390,Urine microalbumin:creatinine ratio (& level),<30 mg/g creatinine
3040290,Microalbumin [Mass/time] in 24 hour Urine by ...,<30 mg/24 hr
40760483,Microalbumin [Mass/volume] in 12 hour Urine,<30 mg/24 hr
2212189,"Albumin; urine (eg, microalbumin), semiquanti...",<30 mg/24 hr
3046828,Microalbumin [Mass/volume] in 4 hour Urine,<30 mg/24 hr
37392374,Urine albumin level,<30 mg/24 hr
4164903,"Microalbuminuria measurement, 24-hour collect...",<30 mg/24 hr
1175782,Microalbumin [Mass/time] in 24 hour Urine by ...,<30 mg/24 hr
4107077,"Microalbuminuria measurement, 10-hour collect...",<30 mg/24 hr
46236963,Microalbumin [Moles/volume] in Urine by Detec...,<30 mg/24 hr
2212188,"Albumin; urine (eg, microalbumin), quantitative",<30 mg/24 hr
4154347,Urine albumin/creatinine ratio measurement,<30 mg/g creatinine
37171232,Microalbumin mass concentration in urine,<30 mg/24 hr
3571868,Urine microalbumin profile,<30 mg/24 hr
37398777,Urine microalbumin/creatinine ratio,<30 mg/g creatinine
40761549,Microalbumin ug/min [Mass/time] in 24 hour Ur...,<30 mg/24 hr
3552318,Urine microalbumin profile,<30 mg/24 hr
1761744,Microalbumin [Mass/volume] in Urine collected...,<30 mg/24 hr
3018104,Microalbumin [Mass/volume] in Urine by Test s...,<30 mg/24 hr
3022826,Microalbumin/Creatinine [Ratio] in Urine,<30 mg/g creatinine
40656532,Microalbumin,Ratio
4017498,"Albumin measurement, urine, quantitative",<30 mg/24 hr
40310510,Urine albumin:creatinine ratio (& level),<30 mg/g creatinine
40656529,Microalbumin,Mass Concentration
40759673,Microalbumin [Mass/time] in 8 hour Urine,<30 mg/24 hr
3005577,Microalbumin [Mass/time] in 24 hour Urine,<30 mg/24 hr
3001802,Microalbumin/Creatinine [Mass Ratio] in Urine,<30 mg/g creatinine
4263307,Microalbuminuria measurement,<30 mg/24 hr
37393926,Urine albumin:creatinine ratio,<30 mg/g creatinine
3025987,Albumin [Presence] in Urine,<30 mg/24 hr
40340388,Urine albumin:creatinine ratio (& level),<30 mg/g creatinine
40766204,Microalbumin [Mass/time] in 18 hour Urine,<30 mg/24 hr
3043179,Microalbumin [Mass/time] in 4 hour Urine,<30 mg/24 hr
3043771,Microalbumin [Mass/time] in 12 hour Urine,<30 mg/24 hr
40656531,Microalbumin,Mass Ratio
36660607,Microalbumin [Presence] in Urine by Test strip,<30 mg/24 hr
3049506,Microalbumin [Mass/time] in Urine collected f...,<30 mg/24 hr
40559459,Urine methaemalbumin level,<30 mg/24 hr
4354260,Microalbumin excretion rate measurement,<30 mg/24 hr
4193419,Urine methemalbumin level,<30 mg/24 hr
3048516,Microalbumin/Protein.total in 24 hour Urine,<30 mg/24 hr
46235434,Microalbumin/Creatinine [Ratio] in Urine by D...,<30 mg/g creatinine
40762252,Microalbumin/Creatinine [Ratio] in 24 hour Ur...,<30 mg/g creatinine
1175719,Microalbumin/Creatinine [Ratio] in Urine by D...,<30 mg/g creatinine
3012516,Albumin [Mass/volume] in Urine,<30 mg/24 hr
40761532,Microalbumin panel - 24 hour Urine,<30 mg/24 hr
40564399,Urine methaemalbumin level,<30 mg/24 hr
3002827,Microalbumin/Creatinine [Mass Ratio] in 24 ho...,<30 mg/g creatinine
40656530,Microalbumin,Mass Rate
313502007,24 hour urine albumin output measurement,<30 mg/24 hr
57378007,Urine protein measurement,<30 mg/24 hr
144680007,24 hour urine albumin output,<30 mg/24 hr
167455002,24 hour urine albumin output,<30 mg/24 hr
1021401000000107,Urine methaemalbumin level,<30 mg/24 hr
34535-5,Microalbumin/Creatinine panel in random Urine,<30 mg/g creatinine
144809008,Microalbumin excretion rate,<30 mg/24 hr
